date,nav
27-07-2026,168.78750
24-07-2026,167.18070
23-07-2026,167.78520
22-07-2026,168.67360
21-07-2026,170.01490
20-07-2026,170.37220
17-07-2026,171.04540
16-07-2026,169.18820
15-07-2026,169.22910
14-07-2026,169.02610
13-07-2026,170.14060
10-07-2026,170.11340
09-07-2026,168.37390
08-07-2026,167.79920
07-07-2026,171.41560
06-07-2026,171.61850
03-07-2026,170.50310
02-07-2026,169.77640
01-07-2026,168.58690
30-06-2026,167.60550
29-06-2026,168.14350
25-06-2026,168.91470
24-06-2026,168.67520
23-06-2026,167.29300
22-06-2026,169.19660
19-06-2026,168.56920
18-06-2026,169.33450
17-06-2026,168.75810
16-06-2026,168.08230
15-06-2026,167.13570
12-06-2026,165.52120
11-06-2026,162.23510
10-06-2026,162.60690
09-06-2026,162.79740
08-06-2026,161.96540
05-06-2026,163.67130
04-06-2026,163.94770
03-06-2026,163.87190
02-06-2026,164.41720
01-06-2026,163.71320
29-05-2026,164.86820
27-05-2026,167.35450
26-05-2026,167.40080
25-05-2026,168.22630
22-05-2026,165.98580
21-05-2026,165.46650
20-05-2026,165.49710
19-05-2026,165.21130
18-05-2026,165.43510
15-05-2026,165.39210
14-05-2026,165.60520
13-05-2026,163.66960
12-05-2026,163.43900
11-05-2026,166.48940
08-05-2026,169.01070
07-05-2026,170.06370
06-05-2026,170.09480
05-05-2026,168.01270
04-05-2026,168.61840
30-04-2026,167.77110
29-04-2026,169.03070
28-04-2026,167.76010
27-04-2026,168.43870
24-04-2026,167.08010
23-04-2026,168.96560
22-04-2026,170.39960
21-04-2026,171.78820
20-04-2026,170.30890
17-04-2026,170.23220
16-04-2026,169.13730
15-04-2026,169.37980
13-04-2026,166.66520
10-04-2026,168.12130
09-04-2026,166.19680
08-04-2026,167.75130
07-04-2026,161.64670
06-04-2026,160.55730
02-04-2026,158.77890
01-04-2026,158.54490
31-03-2026,156.11600
30-03-2026,156.11660
27-03-2026,159.52910
25-03-2026,162.93530
24-03-2026,160.18190
23-03-2026,157.39080
20-03-2026,161.60640
19-03-2026,160.82180
18-03-2026,166.24570
17-03-2026,164.87220
16-03-2026,163.66840
13-03-2026,161.86890
12-03-2026,165.28130
11-03-2026,166.87420
10-03-2026,169.63520
09-03-2026,168.00440
06-03-2026,170.95990
05-03-2026,173.15380
04-03-2026,171.16000
02-03-2026,173.85360
27-02-2026,176.04380
26-02-2026,178.26520
25-02-2026,178.16820
24-02-2026,177.76520
23-02-2026,179.78080
20-02-2026,178.79250
19-02-2026,177.97710
18-02-2026,180.52800
17-02-2026,179.85360
16-02-2026,179.55660
13-02-2026,178.07850
12-02-2026,180.42830
11-02-2026,181.45390
10-02-2026,181.32440
09-02-2026,180.85120
06-02-2026,179.61890
05-02-2026,179.23690
04-02-2026,180.15030
03-02-2026,179.81290
02-02-2026,175.34930
30-01-2026,176.97470
29-01-2026,177.66200
28-01-2026,177.13120
27-01-2026,175.96280
23-01-2026,175.08180
22-01-2026,176.76840
21-01-2026,175.84460
20-01-2026,176.36950
19-01-2026,178.83670
16-01-2026,179.60020
14-01-2026,179.29310
13-01-2026,179.76020
12-01-2026,180.16590
09-01-2026,179.42180
08-01-2026,180.77540
07-01-2026,182.61990
06-01-2026,182.88620
05-01-2026,183.38760
02-01-2026,183.93740
01-01-2026,182.66760
31-12-2025,182.55060
30-12-2025,181.21880
29-12-2025,181.24420
26-12-2025,181.94750
24-12-2025,182.64690
23-12-2025,182.89280
22-12-2025,182.86060
19-12-2025,181.42460
18-12-2025,180.37140
17-12-2025,180.39350
16-12-2025,180.68510
15-12-2025,181.85440
12-12-2025,181.99500
11-12-2025,180.95940
10-12-2025,179.97840
09-12-2025,180.55000
08-12-2025,181.39590
05-12-2025,182.97730
04-12-2025,181.91180
03-12-2025,181.57890
02-12-2025,181.90280
01-12-2025,182.90280
28-11-2025,183.09200
27-11-2025,183.17770
26-11-2025,183.10350
25-11-2025,180.86240
24-11-2025,181.38270
21-11-2025,182.14000
20-11-2025,183.00360
19-11-2025,182.02660
18-11-2025,181.03190
17-11-2025,181.75210
14-11-2025,181.03270
13-11-2025,180.81890
12-11-2025,180.79640
11-11-2025,179.53650
10-11-2025,178.69520
07-11-2025,178.09380
06-11-2025,178.16030
04-11-2025,178.77600
03-11-2025,179.93240
31-10-2025,179.64740
30-10-2025,180.73510
29-10-2025,181.96450
28-10-2025,181.14400
27-10-2025,181.35290
24-10-2025,180.03720
23-10-2025,180.70960
20-10-2025,180.37510
17-10-2025,179.43310
16-10-2025,178.54520
15-10-2025,176.71980
14-10-2025,175.46090
13-10-2025,176.03280
10-10-2025,176.44040
09-10-2025,175.71880
08-10-2025,174.77340
07-10-2025,175.20890
06-10-2025,174.99610
03-10-2025,173.71870
01-10-2025,173.31630
30-09-2025,171.74580
26-09-2025,172.06600
25-09-2025,173.71520
24-09-2025,174.87480
23-09-2025,175.66150
22-09-2025,175.89140
19-09-2025,176.76430
18-09-2025,177.43880
17-09-2025,176.78840
16-09-2025,176.15330
15-09-2025,174.96880
12-09-2025,175.28350
11-09-2025,174.52730
10-09-2025,174.30230
09-09-2025,173.57410
08-09-2025,172.90830
05-09-2025,172.68690
04-09-2025,172.64090
03-09-2025,172.47560
02-09-2025,171.53180
01-09-2025,171.84980
29-08-2025,170.47060
28-08-2025,170.98750
26-08-2025,172.46060
25-08-2025,174.24400
22-08-2025,173.56560
21-08-2025,175.05560
20-08-2025,174.80690
19-08-2025,174.32070
18-08-2025,173.58860
14-08-2025,171.88010
13-08-2025,171.73530
12-08-2025,170.81690
11-08-2025,171.37160
08-08-2025,169.82940
07-08-2025,171.43790
06-08-2025,171.28630
05-08-2025,171.79170
04-08-2025,172.30220
01-08-2025,171.21160
31-07-2025,172.58080
30-07-2025,173.18390
29-07-2025,172.94960
28-07-2025,171.97700
25-07-2025,173.04130
24-07-2025,174.53180
23-07-2025,175.61480
22-07-2025,174.51280
21-07-2025,174.72060
18-07-2025,173.87480
17-07-2025,174.77620
16-07-2025,175.47510
15-07-2025,175.34630
14-07-2025,174.55960
11-07-2025,175.03110
10-07-2025,176.45070
09-07-2025,177.28280
08-07-2025,177.60580
07-07-2025,177.17130
04-07-2025,177.16300
03-07-2025,176.73320
02-07-2025,177.06770
01-07-2025,177.68230
30-06-2025,177.51150
27-06-2025,178.35140
26-06-2025,177.46620
25-06-2025,175.35870
24-06-2025,173.97030
23-06-2025,173.46910
20-06-2025,174.41200
19-06-2025,172.19940
18-06-2025,172.33060
17-06-2025,172.61810
16-06-2025,173.26390
13-06-2025,171.68780
12-06-2025,172.85510
11-06-2025,174.60820
10-06-2025,174.35160
09-06-2025,174.33110
06-06-2025,173.64010
05-06-2025,171.89410
04-06-2025,170.98970
03-06-2025,170.38590
02-06-2025,171.53060
30-05-2025,171.77150
29-05-2025,172.20800
28-05-2025,171.63850
27-05-2025,172.03830
26-05-2025,173.25130
23-05-2025,172.22860
22-05-2025,170.54340
21-05-2025,171.95550
20-05-2025,171.05930
19-05-2025,172.87350
16-05-2025,173.39100
15-05-2025,173.59120
14-05-2025,170.85510
13-05-2025,170.24320
12-05-2025,172.64400
09-05-2025,166.29450
08-05-2025,168.13110
07-05-2025,169.10620
06-05-2025,168.86620
05-05-2025,169.43160
02-05-2025,168.64150
30-04-2025,168.55680
29-04-2025,168.56970
28-04-2025,168.51900
25-04-2025,166.48920
24-04-2025,167.92630
23-04-2025,168.49660
22-04-2025,167.37740
21-04-2025,167.08950
17-04-2025,165.19540
16-04-2025,162.32600
15-04-2025,161.57420
11-04-2025,158.11500
09-04-2025,155.14260
08-04-2025,156.09010
07-04-2025,153.49790
04-04-2025,158.64680
03-04-2025,161.04140
02-04-2025,161.61170
01-04-2025,160.45780
31-03-2025,162.90780
28-03-2025,162.90880
27-03-2025,163.41570
26-03-2025,162.69770
25-03-2025,163.95940
24-03-2025,163.88850
21-03-2025,161.75810
20-03-2025,160.65130
19-03-2025,158.69210
18-03-2025,158.18490
17-03-2025,155.93190
13-03-2025,155.16210
12-03-2025,155.67080
11-03-2025,155.86130
10-03-2025,155.59360
07-03-2025,156.23460
06-03-2025,156.17990
05-03-2025,154.74460
04-03-2025,152.98220
03-03-2025,153.23690
28-02-2025,153.27710
27-02-2025,156.18830
25-02-2025,156.20720
24-02-2025,156.24810
21-02-2025,157.92890
20-02-2025,158.74120
19-02-2025,158.87890
18-02-2025,158.96560
17-02-2025,159.06460
14-02-2025,158.85780
13-02-2025,159.56390
12-02-2025,159.66040
11-02-2025,159.75160
10-02-2025,161.89630
07-02-2025,163.13260
06-02-2025,163.37370
05-02-2025,164.00030
04-02-2025,164.29860
03-02-2025,161.68280
31-01-2025,162.70440
30-01-2025,160.87230
29-01-2025,160.27580
28-01-2025,158.83650
27-01-2025,157.95170
24-01-2025,159.77300
23-01-2025,160.55620
22-01-2025,160.21120
21-01-2025,159.30880
20-01-2025,161.52250
17-01-2025,160.54630
16-01-2025,161.14900
15-01-2025,160.46860
14-01-2025,160.21300
13-01-2025,159.59120
10-01-2025,161.98190
09-01-2025,162.63960
08-01-2025,163.76350
07-01-2025,163.89560
06-01-2025,163.26110
03-01-2025,165.95070
02-01-2025,167.22310
01-01-2025,164.14200
31-12-2024,163.46480
30-12-2024,163.46640
27-12-2024,164.63390
26-12-2024,164.19690
24-12-2024,164.04260
23-12-2024,164.22200
20-12-2024,163.07700
19-12-2024,165.59620
18-12-2024,167.30630
17-12-2024,168.25580
16-12-2024,170.55380
13-12-2024,171.24840
12-12-2024,169.73080
11-12-2024,170.37520
10-12-2024,170.15680
09-12-2024,170.21970
