date,nav
27-07-2026,307.97660
24-07-2026,306.23820
23-07-2026,306.94080
22-07-2026,311.25000
21-07-2026,315.10610
20-07-2026,314.41200
17-07-2026,313.46890
16-07-2026,315.12110
15-07-2026,315.77110
14-07-2026,314.13810
13-07-2026,315.21800
10-07-2026,313.97120
09-07-2026,310.62320
08-07-2026,307.36310
07-07-2026,313.93040
06-07-2026,315.96890
03-07-2026,313.57920
02-07-2026,312.00320
01-07-2026,309.76850
30-06-2026,309.14830
29-06-2026,306.52250
25-06-2026,307.09270
24-06-2026,306.55520
23-06-2026,304.79850
22-06-2026,307.50830
19-06-2026,305.70600
18-06-2026,303.27510
17-06-2026,300.05200
16-06-2026,299.65410
15-06-2026,298.10910
12-06-2026,295.64960
11-06-2026,289.27670
10-06-2026,289.75450
09-06-2026,293.13660
08-06-2026,288.98970
05-06-2026,294.48400
04-06-2026,294.08030
03-06-2026,293.23400
02-06-2026,292.97140
01-06-2026,291.16060
29-05-2026,292.92740
27-05-2026,294.21350
26-05-2026,292.24810
25-05-2026,291.25110
22-05-2026,286.85360
21-05-2026,287.05520
20-05-2026,285.88600
19-05-2026,284.42900
18-05-2026,283.00830
15-05-2026,285.36800
14-05-2026,286.90870
13-05-2026,284.92730
12-05-2026,283.25770
11-05-2026,289.40820
08-05-2026,292.19250
07-05-2026,292.83830
06-05-2026,289.09720
05-05-2026,284.66200
04-05-2026,283.62620
30-04-2026,280.48190
29-04-2026,280.36280
28-04-2026,278.77150
27-04-2026,277.18260
24-04-2026,273.10870
23-04-2026,275.43230
22-04-2026,276.51550
21-04-2026,272.93270
20-04-2026,271.21390
17-04-2026,271.90260
16-04-2026,269.24880
15-04-2026,268.39250
13-04-2026,263.86480
10-04-2026,264.30100
09-04-2026,259.44060
08-04-2026,259.92730
07-04-2026,250.80040
06-04-2026,250.99470
02-04-2026,247.99520
01-04-2026,247.89910
31-03-2026,239.92920
30-03-2026,239.93200
27-03-2026,245.17140
25-03-2026,250.37430
24-03-2026,245.92540
23-03-2026,240.99880
20-03-2026,248.63700
19-03-2026,247.03720
18-03-2026,252.80640
17-03-2026,248.65190
16-03-2026,247.05470
13-03-2026,246.76710
12-03-2026,251.76120
11-03-2026,250.51570
10-03-2026,251.29620
09-03-2026,247.41760
06-03-2026,251.84710
05-03-2026,253.17230
04-03-2026,250.20140
02-03-2026,254.60500
27-02-2026,258.43450
26-02-2026,260.79310
25-02-2026,261.20160
24-02-2026,260.14780
23-02-2026,261.59320
20-02-2026,261.06580
19-02-2026,261.48480
18-02-2026,265.12550
17-02-2026,264.90250
16-02-2026,263.07620
13-02-2026,263.02430
12-02-2026,267.63700
11-02-2026,268.89340
10-02-2026,268.59360
09-02-2026,267.67590
06-02-2026,261.98820
05-02-2026,263.18510
04-02-2026,264.69600
03-02-2026,262.09680
02-02-2026,253.08460
30-01-2026,256.27550
29-01-2026,253.63030
28-01-2026,253.89040
27-01-2026,250.37080
23-01-2026,250.40820
22-01-2026,256.61110
21-01-2026,254.30930
20-01-2026,256.04080
19-01-2026,261.47290
16-01-2026,265.16540
14-01-2026,266.33060
13-01-2026,266.09370
12-01-2026,267.01350
09-01-2026,268.21060
08-01-2026,271.66380
07-01-2026,276.67660
06-01-2026,276.78430
05-01-2026,277.86610
02-01-2026,278.56690
01-01-2026,276.87840
31-12-2025,276.76640
30-12-2025,272.96360
29-12-2025,272.90210
26-12-2025,273.87320
24-12-2025,274.56420
23-12-2025,275.70110
22-12-2025,275.06690
19-12-2025,273.03150
18-12-2025,270.53960
17-12-2025,271.86690
16-12-2025,273.75690
15-12-2025,276.06720
12-12-2025,275.43540
11-12-2025,274.00340
10-12-2025,272.21020
09-12-2025,272.56980
08-12-2025,270.79350
05-12-2025,275.27550
04-12-2025,276.05180
03-12-2025,276.41330
02-12-2025,278.80760
01-12-2025,279.90720
28-11-2025,280.14640
27-11-2025,280.94460
26-11-2025,281.58420
25-11-2025,278.74790
24-11-2025,278.06520
21-11-2025,280.04490
20-11-2025,282.99370
19-11-2025,282.89510
18-11-2025,283.85820
17-11-2025,285.22170
14-11-2025,283.93420
13-11-2025,283.12810
12-11-2025,284.04230
11-11-2025,282.02350
10-11-2025,281.51700
07-11-2025,281.20360
06-11-2025,280.32940
04-11-2025,283.60700
03-11-2025,285.65520
31-10-2025,284.11780
30-10-2025,285.57050
29-10-2025,286.62010
28-10-2025,285.04250
27-10-2025,285.04440
24-10-2025,283.68350
23-10-2025,284.37810
20-10-2025,284.74470
17-10-2025,281.15360
16-10-2025,282.00680
15-10-2025,280.66120
14-10-2025,278.45180
13-10-2025,279.87270
10-10-2025,280.45750
09-10-2025,279.70330
08-10-2025,278.47500
07-10-2025,279.41960
06-10-2025,279.36010
03-10-2025,279.05920
01-10-2025,276.46870
30-09-2025,272.46100
26-09-2025,273.32530
25-09-2025,277.60700
24-09-2025,279.03100
23-09-2025,282.19310
22-09-2025,283.76440
19-09-2025,283.88790
18-09-2025,282.20630
17-09-2025,281.42370
16-09-2025,280.97970
15-09-2025,279.20950
12-09-2025,277.27470
11-09-2025,276.68160
10-09-2025,275.60190
09-09-2025,275.26050
08-09-2025,275.11520
05-09-2025,274.14450
04-09-2025,273.44330
03-09-2025,274.42810
02-09-2025,272.98820
01-09-2025,271.73730
29-08-2025,268.98770
28-08-2025,270.12270
26-08-2025,272.26280
25-08-2025,276.93190
22-08-2025,276.31390
21-08-2025,277.09880
20-08-2025,277.40050
19-08-2025,277.28240
18-08-2025,274.49330
14-08-2025,270.61980
13-08-2025,271.61130
12-08-2025,270.15030
11-08-2025,270.37460
08-08-2025,268.14090
07-08-2025,271.47720
06-08-2025,272.40910
05-08-2025,275.47470
04-08-2025,277.37730
01-08-2025,274.56720
31-07-2025,278.83470
30-07-2025,280.96260
29-07-2025,280.38410
28-07-2025,276.39460
25-07-2025,279.17260
24-07-2025,283.61850
23-07-2025,284.98680
22-07-2025,283.49050
21-07-2025,285.47680
18-07-2025,286.63890
17-07-2025,287.66050
16-07-2025,287.15090
15-07-2025,286.57260
14-07-2025,285.49140
11-07-2025,283.92720
10-07-2025,285.02120
09-07-2025,285.34440
08-07-2025,285.25700
07-07-2025,284.81960
04-07-2025,285.07460
03-07-2025,284.00930
02-07-2025,283.40190
01-07-2025,284.48090
30-06-2025,283.81520
27-06-2025,282.34010
26-06-2025,280.03460
25-06-2025,277.44800
24-06-2025,273.42960
23-06-2025,271.44790
20-06-2025,271.35790
19-06-2025,269.55830
18-06-2025,273.04190
17-06-2025,273.95520
16-06-2025,275.61760
13-06-2025,275.01300
12-06-2025,276.60080
11-06-2025,279.33420
10-06-2025,278.35640
09-06-2025,278.32270
06-06-2025,275.41040
05-06-2025,274.26860
04-06-2025,272.96500
03-06-2025,271.56110
02-06-2025,272.97520
30-05-2025,272.57770
29-05-2025,272.46400
28-05-2025,271.43980
27-05-2025,272.24180
26-05-2025,270.28460
23-05-2025,270.13820
22-05-2025,269.56460
21-05-2025,270.64850
20-05-2025,270.63720
19-05-2025,273.27260
16-05-2025,270.62780
15-05-2025,268.15930
14-05-2025,265.95750
13-05-2025,263.77170
12-05-2025,262.96370
09-05-2025,252.83310
08-05-2025,255.13210
07-05-2025,258.02620
06-05-2025,255.89120
05-05-2025,259.77620
02-05-2025,255.93630
30-04-2025,256.44120
29-04-2025,259.48700
28-04-2025,259.89790
25-04-2025,256.30710
24-04-2025,261.50380
23-04-2025,259.98880
22-04-2025,259.41510
21-04-2025,259.09000
17-04-2025,255.70990
16-04-2025,254.00150
15-04-2025,250.98430
11-04-2025,244.64210
09-04-2025,238.96620
08-04-2025,241.02240
07-04-2025,236.69970
04-04-2025,244.40810
03-04-2025,251.96530
02-04-2025,249.54650
01-04-2025,248.46080
31-03-2025,248.44300
28-03-2025,248.44110
27-03-2025,250.22550
26-03-2025,246.92890
25-03-2025,249.65340
24-03-2025,253.40740
21-03-2025,251.18910
20-03-2025,248.64110
19-03-2025,246.54510
18-03-2025,242.03910
17-03-2025,238.07320
13-03-2025,238.24760
12-03-2025,239.62310
11-03-2025,239.49940
10-03-2025,240.34660
07-03-2025,244.22550
06-03-2025,242.95120
05-03-2025,239.10010
04-03-2025,234.03090
03-03-2025,231.67230
28-02-2025,232.72600
27-02-2025,237.17120
25-02-2025,240.11950
24-02-2025,240.70770
21-02-2025,243.75340
20-02-2025,243.98540
19-02-2025,242.13470
18-02-2025,236.41050
17-02-2025,238.91140
14-02-2025,239.52500
13-02-2025,245.65540
12-02-2025,248.11690
11-02-2025,249.38260
10-02-2025,256.35860
07-02-2025,262.59870
06-02-2025,265.05980
05-02-2025,265.44860
04-02-2025,262.14520
03-02-2025,257.20670
31-01-2025,260.34130
30-01-2025,256.50500
29-01-2025,255.63620
28-01-2025,250.14230
27-01-2025,252.38400
24-01-2025,259.88340
23-01-2025,264.87600
22-01-2025,264.93720
21-01-2025,267.96590
20-01-2025,273.01350
17-01-2025,271.93220
16-01-2025,271.44930
15-01-2025,267.96410
14-01-2025,267.87430
13-01-2025,263.08290
10-01-2025,272.55580
09-01-2025,278.63290
08-01-2025,282.00840
07-01-2025,283.70330
06-01-2025,278.17430
03-01-2025,285.48930
02-01-2025,284.81850
01-01-2025,282.76470
31-12-2024,280.58590
30-12-2024,279.70310
27-12-2024,279.43970
26-12-2024,278.73680
24-12-2024,279.46990
23-12-2024,278.59140
20-12-2024,279.19820
19-12-2024,283.82870
18-12-2024,287.00550
17-12-2024,290.22850
16-12-2024,292.89290
13-12-2024,292.55760
12-12-2024,293.02370
11-12-2024,296.21540
10-12-2024,296.05220
09-12-2024,295.54560
06-12-2024,296.34910
05-12-2024,296.15110
04-12-2024,296.19890
03-12-2024,295.65700
02-12-2024,292.30390
29-11-2024,291.97510
28-11-2024,289.35860
27-11-2024,287.72750
26-11-2024,283.86230
25-11-2024,283.39260
22-11-2024,277.31340
21-11-2024,274.76820
19-11-2024,279.26040
18-11-2024,278.86140
14-11-2024,280.69780
13-11-2024,277.55740
12-11-2024,284.09140
11-11-2024,287.00170
08-11-2024,290.26150
07-11-2024,294.43960
06-11-2024,296.07060
05-11-2024,292.80410
04-11-2024,290.69890
31-10-2024,291.61230
30-10-2024,288.89370
29-10-2024,285.81210
28-10-2024,283.83300
25-10-2024,279.77250
24-10-2024,284.50390
23-10-2024,285.46370
22-10-2024,283.60530
21-10-2024,292.82530
18-10-2024,296.89190
17-10-2024,296.72520
16-10-2024,300.80340
15-10-2024,300.09990
14-10-2024,298.27970
11-10-2024,298.01930
10-10-2024,297.35990
09-10-2024,296.77280
08-10-2024,295.40420
07-10-2024,289.20870
04-10-2024,296.27530
03-10-2024,298.78030
01-10-2024,305.16920
30-09-2024,304.48140
27-09-2024,306.51810
26-09-2024,304.64720
25-09-2024,305.01450
24-09-2024,305.87250
23-09-2024,306.28710
20-09-2024,303.15080
19-09-2024,301.29030
18-09-2024,303.82090
17-09-2024,304.37570
16-09-2024,304.63970
13-09-2024,305.00970
12-09-2024,304.16050
11-09-2024,302.17240
10-09-2024,304.56460
09-09-2024,301.49720
06-09-2024,302.36950
05-09-2024,305.45580
04-09-2024,304.44730
03-09-2024,304.17580
02-09-2024,302.29310
30-08-2024,300.15450
29-08-2024,299.02040
28-08-2024,299.79200
27-08-2024,301.02530
26-08-2024,300.63560
23-08-2024,300.26360
22-08-2024,299.54330
21-08-2024,299.08920
20-08-2024,297.56970
19-08-2024,295.18070
16-08-2024,291.26320
14-08-2024,287.40930
13-08-2024,290.01780
12-08-2024,293.78170
09-08-2024,293.88220
08-08-2024,290.68760
07-08-2024,291.62720
06-08-2024,285.38560
05-08-2024,285.67360
02-08-2024,294.90460
01-08-2024,296.73070
31-07-2024,298.30870
30-07-2024,298.58700
29-07-2024,297.33150
26-07-2024,295.08920
25-07-2024,291.73830
24-07-2024,292.62800
23-07-2024,288.37550
22-07-2024,290.95460
19-07-2024,290.15490
18-07-2024,293.81320
16-07-2024,296.45670
15-07-2024,296.47720
12-07-2024,295.41620
11-07-2024,295.81840
10-07-2024,293.47450
09-07-2024,294.40910
08-07-2024,295.34570
05-07-2024,295.57330
04-07-2024,294.09600
03-07-2024,291.80890
02-07-2024,289.03420
01-07-2024,289.10630
28-06-2024,286.64210
27-06-2024,285.81070
26-06-2024,287.02690
25-06-2024,285.54460
24-06-2024,285.61460
21-06-2024,287.50150
20-06-2024,288.58750
19-06-2024,286.42220
18-06-2024,286.77840
14-06-2024,284.84390
13-06-2024,283.06110
12-06-2024,281.29430
11-06-2024,278.50390
10-06-2024,276.43270
07-06-2024,277.13630
06-06-2024,271.95440
05-06-2024,263.62710
04-06-2024,254.17500
03-06-2024,277.07070
31-05-2024,270.03180
30-05-2024,266.59240
29-05-2024,271.08040
28-05-2024,271.10560
27-05-2024,273.30780
24-05-2024,273.36960
23-05-2024,273.77500
22-05-2024,273.08110
21-05-2024,271.39580
17-05-2024,268.31860
16-05-2024,265.66050
15-05-2024,264.49610
14-05-2024,263.33320
13-05-2024,258.31630
10-05-2024,258.84740
09-05-2024,256.91320
08-05-2024,262.83730
07-05-2024,260.99220
06-05-2024,265.18330
03-05-2024,269.43930
02-05-2024,271.35120
30-04-2024,271.11320
29-04-2024,271.01480
26-04-2024,269.77970
25-04-2024,268.47440
24-04-2024,267.21740
23-04-2024,265.90120
22-04-2024,264.15070
19-04-2024,261.50340
18-04-2024,261.36040
16-04-2024,260.52940
15-04-2024,259.87910
12-04-2024,263.58280
10-04-2024,264.85730
09-04-2024,263.22490
08-04-2024,262.11460
05-04-2024,261.71350
04-04-2024,259.27610
03-04-2024,258.37280
02-04-2024,256.03520
01-04-2024,253.32220
31-03-2024,246.60890
28-03-2024,246.61410
27-03-2024,245.80690
26-03-2024,243.51540
22-03-2024,244.14290
21-03-2024,242.82880
20-03-2024,237.19350
19-03-2024,237.74440
18-03-2024,240.80790
15-03-2024,239.26370
14-03-2024,239.60480
13-03-2024,232.62660
12-03-2024,246.98860
11-03-2024,251.20510
07-03-2024,255.20050
06-03-2024,253.97730
05-03-2024,257.46500
04-03-2024,258.60520
01-03-2024,257.01240
29-02-2024,254.02170
28-02-2024,252.86710
27-02-2024,258.21650
26-02-2024,260.09960
23-02-2024,261.44300
22-02-2024,259.23710
21-02-2024,255.55030
20-02-2024,257.44890
19-02-2024,257.01100
16-02-2024,254.69940
15-02-2024,253.31140
14-02-2024,250.41740
13-02-2024,246.11570
12-02-2024,244.88290
09-02-2024,253.98390
08-02-2024,257.33470
07-02-2024,257.70100
06-02-2024,257.66520
05-02-2024,256.96870
02-02-2024,255.23090
01-02-2024,252.34390
31-01-2024,252.38930
30-01-2024,249.01100
29-01-2024,248.66790
25-01-2024,243.70220
24-01-2024,240.23250
23-01-2024,235.66370
19-01-2024,239.77480
18-01-2024,236.61850
17-01-2024,236.33130
16-01-2024,238.96940
15-01-2024,239.95450
12-01-2024,238.83440
11-01-2024,238.13300
10-01-2024,235.44750
09-01-2024,233.87600
08-01-2024,232.54540
05-01-2024,233.31460
04-01-2024,232.90550
03-01-2024,229.80790
02-01-2024,228.96050
01-01-2024,228.27630
29-12-2023,227.19520
28-12-2023,226.36120
27-12-2023,224.73030
26-12-2023,224.12670
22-12-2023,222.75730
21-12-2023,220.59870
20-12-2023,215.55220
19-12-2023,224.16030
18-12-2023,222.90030
